36,13,0.13
47,12,0.5
33,8,0.89
51,12,1
16,11,1
36,16,1
61,12,1
50,8,1
39,12,1
45,12,1.25
24,12,1.25
32,13,1.25
26,12,1.44
28,12,1.5
31,12,1.5
38,12,1.5
44,12,1.5
38,12,1.5
34,14,1.6
41,12,1.9
19,13,2
33,13,2
17,11,2
50,11.5,2
31,13,2
51,12,2
20,11.5,2
42,9,2
38,12,2
23,16,2
17,11,2
38,9,2
20,13,2
24,13,2
31,11,2
18,12,2
24,13,2
45,16,2
45,8,2
31,12,2
22,12,2
45,13,2
28,16,2
18,13,2
48,13,2
65,8,2
27,12,2.06
36,12,2.1
41,12,2.1
24,11,2.11
20,10,2.11
23,16,2.12
28,12,2.12
19,12,2.12
31,12,2.12
22,12,2.13
32,10,2.13
39,12,2.13
21,13,2.13
23,13,2.13
41,12,2.13
24,13,2.13
20,12,2.13
39,12,2.13
44,12,2.13
51,11,2.13
38,12,2.13
44,11,2.13
43,13,2.13
21,12,2.13
22,12,2.13
18,12,2.13
35,13,2.13
23,13,2.18
25,16,2.25
40,12,2.25
25,12,2.25
20,13,2.25
22,13,2.31
36,12,2.35
31,12,2.35
20,13,2.35
43,13,2.4
62,12,2.45
32,12,2.5
35,12,2.5
20,10,2.5
47,14,2.5
50,10,2.5
21,13,2.5
43,12,2.5
25,16,2.5
21,13,2.5
16,10,2.5
32,13,2.52
29,16,2.55
34,12,2.55
33,12,2.55
20,12,2.55
23,12,2.55
18,11.5,2.75
54,10,2.75
24,13,2.8
22,13,2.85
19,13,2.85
46,12,2.9
35,13,3
55,11.5,3
38,8,3
43,10,3
25,12,3
21,14,3
20,13,3
19,13,3
25,16,3
48,12,3
21,13,3
20,13,3
17,10,3
21,13,3
23,16,3
21,12,3
17,10,3
39,11,3
23,16,3
17,10,3
19,13,3
16,10,3
21,13,3
57,9,3.05
21,13,3.15
36,12,3.2
22,12,3.25
22,13,3.25
22,13,3.25
34,10,3.25
65,8,3.25
38,11,3.29
35,12,3.29
35,13,3.29
16,9,3.35
19,12,3.35
21,12,3.35
60,12,3.35
42,12,3.35
31,10,3.47
59,13,3.5
17,11,3.5
21,12,3.5
30,12,3.5
30,12,3.5
18,11.5,3.5
48,12,3.6
29,12,3.65
23,10,3.65
17,9,3.65
26,12,3.7
23,12,3.7
21,13,3.75
20,13,3.75
17,10,3.75
24,11,3.75
60,12,3.75
35,12,3.8
22,13,3.85
39,14,3.85
26,13,3.9
49,13,4
36,13,4
56,12,4
16,9,4
30,12,4
48,8,4
27,8,4
22,12,4
23,13,4
35,8,4
19,12,4
56,13,4
28,8,4
33,8,4
18,11,4
16,11,4
36,13,4
25,9,4
36,8,4
26,12,4
20,11,4
31,13,4
62,10,4
17,11,4
44,10,4
32,11,4
18,12,4
35,12,4
63,12,4
36,13,4
23,13,4
36,12,4
18,11.5,4
21,9,4
20,11,4
20,12,4
17,12,4
25,11,4
19,11,4
17,11,4
17,11,4
42,8,4
16,10,4
22,13,4
61,18,4
61,10,4
22,12,4
37,12,4
17,11.5,4
24,14,4
36,11.5,4
22,13,4
18,13,4
17,10,4
16,10,4
18,12,4
24,12,4
63,12,4
22,13,4
17,11.5,4
21,16,4
28,12,4
18,11,4
24,13,4
49,12,4
22,12,4
40,12,4
22,13,4
17,11,4
47,12,4
22,11,4
39,13,4
23,14,4
37,13,4
20,12,4
20,13,4
40,13,4
17,11,4
19,12,4
18,11,4
20,11,4
16,10,4
18,10,4
21,12,4
18,11,4
57,12,4
63,12,4
16,10,4
20,12,4
23,11.5,4
19,10,4
57,12,4
20,13,4
19,11,4
17,11,4
17,11,4
18,10,4
58,8,4
60,13,4
22,16,4
29,12,4
47,9,4
21,13,4
19,13,4
35,13,4
25,10,4
18,11.5,4
36,12,4
19,12,4
